location,field,language,tooltip
src/app/(auth)/login/page.tsx,Email address,en,"Use the email linked to your BikeFit account. We will send a one-time login code."
src/app/(auth)/login/page.tsx,Verification Code,en,"Use the 7-character code from your email. Enter letters and numbers exactly as shown."
src/app/(auth)/login/page.tsx,E-mailadres,nl,"Gebruik het e-mailadres van je BikeFit-account. We sturen een eenmalige inlogcode."
src/app/(auth)/login/page.tsx,Verificatiecode,nl,"Gebruik de 7-tekens code uit je e-mail. Vul letters en cijfers exact in."
src/components/measurements/StepBodyMeasurements.tsx,Height (cm),all,"Total standing height used for frame-size and reach calculations."
src/components/measurements/StepBodyMeasurements.tsx,Inseam (cm),all,"Floor-to-crotch distance. This is the primary driver for saddle height."
src/components/measurements/StepAdvancedMeasurements.tsx,Torso Length (cm),all,"Hip-bone to shoulder distance to improve cockpit reach accuracy."
src/components/measurements/StepAdvancedMeasurements.tsx,Arm Length (cm),all,"Shoulder-to-wrist distance used with torso length for reach tuning."
src/components/measurements/StepAdvancedMeasurements.tsx,Shoulder Width (cm),all,"Outer shoulder-bone width used to calculate suitable handlebar width."
src/components/measurements/StepAdvancedMeasurements.tsx,Femur Length (cm),all,"Hip-joint to knee-center distance to improve setback confidence."
src/components/bikes/BikeForm.tsx,Bike Name,all,"Use a recognizable name so you can pick this bike in future fit sessions."
src/components/bikes/BikeForm.tsx,Bike Type,all,"Choose the category that best matches this bike's intended riding style."
src/components/bikes/BikeForm.tsx,Stack (mm),all,"Vertical distance from bottom bracket to head tube top-center."
src/components/bikes/BikeForm.tsx,Reach (mm),all,"Horizontal distance from bottom bracket to head tube top-center."
src/components/bikes/BikeForm.tsx,Seat Tube Angle (deg),all,"Seat tube angle helps align saddle setback with your frame geometry."
src/components/bikes/BikeForm.tsx,Head Tube Angle (deg),all,"Head tube angle helps characterize handling and cockpit assumptions."
src/components/bikes/BikeForm.tsx,Frame Size,all,"Manufacturer size label (for example 54, M, or 56cm)."
src/components/bikes/BikeForm.tsx,Saddle Height (mm),all,"Current saddle height used for recommended-vs-current comparison."
src/components/bikes/BikeForm.tsx,Saddle Setback (mm),all,"Horizontal saddle position behind bottom bracket."
src/components/bikes/BikeForm.tsx,Stem Length (mm),all,"Current stem length used to interpret cockpit reach."
src/components/bikes/BikeForm.tsx,Stem Angle (deg),all,"Stem pitch affects handlebar height and perceived drop."
src/components/bikes/BikeForm.tsx,Handlebar Width (mm),all,"Center-to-center width used for control and comfort checks."
src/components/bikes/BikeForm.tsx,Crank Length (mm),all,"Current crank size compared against inseam-based recommendations."
src/components/questionnaire/questions/NumericQuestion.tsx,Your numeric answer,all,"Dynamic tooltip: Enter a numeric value [in unit]. Allowed range is min-max [unit]. This answer is used directly in fit calculations."
src/components/questionnaire/questions/TextQuestion.tsx,Your written answer,all,"Provide concise details that help personalize your recommendation. Include symptoms, context, or preferences when relevant."
src/app/(dashboard)/fit/[sessionId]/results/page.tsx,Email address,all,"Report destination email. Use an address you can access now."
src/app/(public)/contact/page.tsx,Name,en,"Add your name so support can address your message and follow-up clearly."
src/app/(public)/contact/page.tsx,Email,en,"Use an email you can access now so we can respond to your request."
src/app/(public)/contact/page.tsx,Message,en,"Describe your question and context so we can provide a useful response faster."
src/app/(public)/contact/page.tsx,Naam,nl,"Vul je naam in zodat support je bericht duidelijk kan opvolgen."
src/app/(public)/contact/page.tsx,E-mail,nl,"Gebruik een e-mailadres dat je nu kunt openen voor onze reactie."
src/app/(public)/contact/page.tsx,Bericht,nl,"Beschrijf je vraag en context zodat we sneller gericht kunnen helpen."
src/app/(public)/calculators/saddle-height/page.tsx,Inseam (cm),all,"Use floor-to-crotch inseam in centimeters (55-105). This value has the biggest impact on saddle-height output."
src/app/(public)/calculators/saddle-height/page.tsx,Bike Category,all,"Bike category selects different fit multipliers and offsets, which changes the final recommendation."
src/app/(public)/calculators/saddle-height/page.tsx,Riding Goal,all,"Goal changes comfort/performance offsets. Aggressive goals usually increase saddle and cockpit demand."
src/app/(public)/calculators/saddle-height/page.tsx,Flexibility (1-5),all,"Enter an integer from 1 to 5. Lower flexibility reduces aggressive fit assumptions."
src/app/(public)/calculators/saddle-height/page.tsx,Core Stability (1-5),all,"Enter an integer from 1 to 5. Core stability affects how aggressive the recommended position can be."
src/app/(public)/calculators/frame-size/page.tsx,Height (cm),all,"Enter standing height in centimeters (130-210). Height helps determine your initial frame-size band."
src/app/(public)/calculators/frame-size/page.tsx,Inseam (cm),all,"Enter inseam in centimeters (55-105). Inseam refines frame-size and saddle-baseline estimates."
src/app/(public)/calculators/frame-size/page.tsx,Bike Category,all,"Category changes sizing logic (for example road/gravel numeric sizes vs MTB/city size bands)."
src/app/(public)/calculators/crank-length/page.tsx,Inseam (cm),all,"Enter inseam in centimeters (55-105). This value selects your crank-length bracket."
src/app/(public)/calculators/crank-length/page.tsx,Bike Category,all,"Bike category applies small adjustments (for example MTB clearance preference) to baseline crank length."
